name,trains,area,latitude,longitude
Plänterwald,"S8, S85, S9",B,52.4785887,13.4732395
Poelchaustraße,S7,B,52.5358712,13.5355776
Potsdam Hbf,S7,C,52.3917908,13.0672397
Potsdamer Platz,"S1, S2, S25, S26",A,52.5094035,13.3766399
Prenzlauer Allee,"S41, S42, S8, S85",A,52.5447901,13.4259805
Priesterweg,"S2, S25, S26",B,52.4599231,13.356253
Rahnsdorf,S3,B,52.4516372,13.6899776
Raoul-Wallenberg-Straße,S7,B,52.5507334,13.5475595
Rathaus Steglitz,S1,B,52.4555293,13.3224998
Rummelsburg,S3,B,52.501288,13.478367
Röntgental,S2,C,52.6486814,13.5136021
Savignyplatz,"S3, S5, S7, S9",A,52.5051746,13.3190659
Schichauweg,S2,B,52.3985425,13.3893931
Schlachtensee,S1,B,52.440088,13.2154373
Schulzendorf,S25,B,52.6129169,13.2460234
Schöneberg,"S1, S41, S42, S46",A,52.4793491,13.3519181
Schöneweide,"S45, S46, S47, S8, S85, S9",B,52.4549058,13.5097653
Schönfließ,S8,C,52.6647002,13.3400405
Schönhauser Allee,"S41, S42, S8, S85",A,52.549243,13.4155955
Schönholz,"S1, S25, S26",B,52.5715004,13.3809904
Sonnenallee,"S41, S42",A,52.4729807,13.4556896
Spandau,"S3, S9",B,52.5347721,13.1974528
Spindlersfeld,S47,B,52.4468976,13.5615738
Springpfuhl,"S7, S75",B,52.52704,13.5365518
Storkower Straße,"S41, S42, S8, S85",A,52.5237432,13.4648885
Strausberg,S5,C,52.5327622,13.8359863
Strausberg Nord,S5,C,52.5902873,13.9085199
Strausberg Stadt,S5,C,52.5766818,13.8878521
Stresow,"S3, S9",B,52.5319419,13.2093454
Sundgauer Straße,S1,B,52.4364399,13.2742012
Südende,"S25, S26",B,52.448279,13.3537492
Südkreuz,"S2, S25, S26, S41, S42, S45, S46",A,52.4759806,13.3650726
Tegel,S25,B,52.5881913,13.2896968
Teltow Stadt,"S25, S26",C,52.396844,13.2762483
Tempelhof,"S41, S42, S45, S46",A,52.4709704,13.3844457
Tiergarten,"S3, S5, S7, S9",A,52.5143746,13.3364504
Treptower Park,"S41, S42, S8, S85, S9",A,52.4938491,13.4618296
Waidmannslust,"S1, S26",B,52.6062718,13.321194
Wannsee,"S1, S7",B,52.4214071,13.1798077
Warschauer Straße,"S3, S5, S7, S75, S9",A,52.5063685,13.4501205
Wartenberg,S75,B,52.572982,13.5038322
Waßmannsdorf,"S45, S9",C,52.3682829,13.4634328
Wedding,"S41, S42",A,52.5427866,13.3669996
Westend,"S41, S42, S46",A,52.5180135,13.2844201
Westhafen,"S41, S42",A,52.5362768,13.3444152
Westkreuz,"S3, S41, S42, S46, S5, S7, S9",A,52.5010288,13.2847452
Wildau,"S46, S8",C,52.3194124,13.6338248
Wilhelmshagen,S3,B,52.4384919,13.7223287
Wilhelmsruh,"S1, S26",B,52.5816944,13.3622403
Wittenau,"S1, S26",B,52.597052,13.3342591
Wollankstraße,"S1, S25, S26",B,52.5651525,13.3923627
Wuhletal,S5,B,52.5126943,13.5754399
Wuhlheide,S3,B,52.4685507,13.5543359
Yorckstraße,"S2, S25, S26",A,52.4922745,13.3678588
Yorckstraße (Großgörschenstraße),S1,A,52.4922745,13.3678588
Zehlendorf,S1,B,52.4310735,13.2585888
Zepernick,S2,C,52.6596833,13.5338475
Zeuthen,"S46, S8",C,52.3484435,13.627647
Zoologischer Garten,"S3, S5, S7, S9",A,52.5071378,13.331868
